epoch,accuracy,loss,val_accuracy,val_loss
0,0.7613636,0.6599809237501838,0.9270833,0.31475021441777545
1,0.96022725,0.20645238730040463,0.96875,0.1606580081085364
2,0.9727273,0.1493193058805032,0.9791667,0.0917159765958786
3,0.9931818,0.07888307043097235,0.9583333,0.13028598638872305
4,0.98636365,0.0961409484798258,0.96875,0.11267542963226636
5,0.9818182,0.10732439444823698,0.9791667,0.1188613660633564
6,0.9931818,0.06566389074379747,1.0,0.06315611737469833
7,0.99886364,0.05387780395421115,0.9895833,0.06787085284789403
8,1.0,0.04085644442926754,0.9895833,0.07602492781976859
9,1.0,0.03760594861073927,0.9791667,0.07310547741750877
10,1.0,0.03568743074482138,0.9895833,0.05821357232828935
11,1.0,0.03523402860896154,1.0,0.04658056857685248
12,1.0,0.0332292471758344,0.9895833,0.04761433353026708
13,1.0,0.03152822120623155,0.9895833,0.04756572283804417
14,1.0,0.03052487200634046,1.0,0.03565938677638769
15,1.0,0.029622756825252013,1.0,0.0332627035677433
16,1.0,0.028644397177479484,1.0,0.032419891407092415
17,1.0,0.027301044660535727,1.0,0.03075415858378013
18,1.0,0.026556592908772554,1.0,0.030312034922341507
19,0.99886364,0.03339182229881937,0.9895833,0.05719913480182489
20,0.9625,0.13637837422165003,0.9166667,0.2628153966118892
21,0.9590909,0.15579722957177597,0.9166667,0.48218026012182236
22,0.9784091,0.1151765024797483,0.9791667,0.09757149033248425
23,0.9965909,0.044340702281756836,0.9895833,0.06362017492453258
24,1.0,0.03102396936579184,0.9895833,0.07367784560968478
25,1.0,0.028813079338182102,0.9895833,0.0630310932174325
26,1.0,0.02537651996720921,0.9791667,0.07601630253096421
27,1.0,0.023403121090748092,0.9791667,0.05994907673448324
28,1.0,0.022950437969782137,0.9791667,0.08973359440763791
29,1.0,0.02197865488176996,0.9895833,0.07749693499257167
