epoch,accuracy,loss,val_accuracy,val_loss
0,0.37660256,1.7721666051791265,0.515625,1.285883292555809
1,0.59455127,1.2163001933158972,0.578125,1.153607152402401
2,0.6826923,0.9775516704106942,0.65625,0.9577875733375549
3,0.75080127,0.8091861429886941,0.6640625,0.888144850730896
4,0.7956731,0.6983961554674002,0.65625,0.9444287270307541
5,0.818109,0.622156485533103,0.7890625,0.7426807731389999
6,0.8421474,0.578993232968526,0.6640625,0.8811911046504974
7,0.838141,0.5567949597652142,0.7109375,0.8565716445446014
8,0.8485577,0.543175166233992,0.6640625,0.9445366784930229
9,0.85336536,0.5071232872895706,0.71875,0.8927295245230198
10,0.86858976,0.4719295667914244,0.765625,0.7788493633270264
11,0.869391,0.44923849633106816,0.71875,0.8448279649019241
12,0.9014423,0.3764596348389601,0.8046875,0.7829919122159481
13,0.92227566,0.3354340554812016,0.7890625,0.7742582224309444
14,0.91907054,0.31674239612542665,0.7734375,0.7530104592442513
15,0.92227566,0.3287227667677097,0.7734375,0.7726121172308922
16,0.91266024,0.3431655458914928,0.7265625,0.7676513567566872
17,0.9254808,0.3044903971827947,0.8203125,0.739135280251503
18,0.9415064,0.25713567330669135,0.8046875,0.7127229496836662
19,0.94551283,0.2499883492023517,0.78125,0.7857715114951134
20,0.94391024,0.2508072345875777,0.765625,0.717915702611208
21,0.95352566,0.2142765692029244,0.8125,0.7192026004195213
22,0.9463141,0.25365585308426464,0.8359375,0.6499296091496944
23,0.93830127,0.2618125897760575,0.7734375,0.7678947895765305
24,0.9334936,0.2595765048112625,0.796875,0.682045616209507
25,0.92948717,0.28136404947592664,0.765625,0.9377675950527191
26,0.94711536,0.23784897743891448,0.75,0.7476805187761784
27,0.95592946,0.2099015572323249,0.796875,0.7714474573731422
28,0.9423077,0.23245595529293403,0.796875,0.6927366759628057
29,0.9495192,0.20239188961493662,0.7734375,0.72276346758008
